GeneSymbol	TargetID	DiseaseID	DiseaseName	AssociationScore
APOE	ENSG00000130203	EFO_0001645	coronary artery disease	0.82045962384933
LDLR	ENSG00000130164	EFO_0001645	coronary artery disease	0.7383822254192259
PCSK9	ENSG00000169174	EFO_0001645	coronary artery disease	0.7291643901657193
APOB	ENSG00000084674	EFO_0001645	coronary artery disease	0.5840139497933688
LPA	ENSG00000198670	EFO_0001645	coronary artery disease	0.597049690288134
CELSR2	ENSG00000143126	EFO_0001645	coronary artery disease	0.5860471093193584
CETP	ENSG00000087237	EFO_0001645	coronary artery disease	0.6289960097081245
HMGCR	ENSG00000113161	EFO_0001645	coronary artery disease	0.726064024876024
FTO	ENSG00000140718	EFO_0001645	coronary artery disease	0.4744538616623176
TCF7L2	ENSG00000148737	EFO_0001645	coronary artery disease	0.5259177351758068
