Gene	RSID	Plausibility	MechanismCategory	Priority	Rationale
APOE	rs429358	High	Altered protein function (missense affecting lipoprotein binding/clearance)	High	rs429358 is a missense SNV in APOE (moderate impact) that contributes to APOE isoform variation known to modify apoE protein properties. APOE encodes a protein that mediates lipoprotein-dependent transport and clearance of lipids and cholesterol; a coding change that alters apoE binding or clearance is a biologically plausible route to altered circulating atherogenic lipoproteins and increased coronary artery disease (CAD) risk. The provided association score (0.82) is high and supports relevance. Conclusion is conservative and limited to the single gene/variant: a protein-altering variant in APOE plausibly affects lipid handling and thereby CAD risk, so it warrants high priority for follow-up functional and clinical evaluation.
LDLR	rs688	Moderate — biologically plausible. LDLR has a well-established role in LDL clearance and coronary artery disease risk; a synonymous change could plausibly alter splicing, mRNA stability, or expression, but direct functional evidence for this variant is not provided here.	Synonymous — possible splicing or expression-modulating (regulatory) effect	Medium	Conservative evaluation: the gene (LDLR) is a clear, biologically relevant contributor to CAD through effects on LDL cholesterol. The variant is annotated as synonymous (LOW impact), which typically does not change protein sequence, but such variants can sometimes affect splicing, mRNA stability, or translational efficiency. The supplied association score (0.74) supports a non-random link to disease, increasing interest. However, no direct evidence of altered splicing, expression, protein level, or clinical impact for this specific variant was provided, so causality remains uncertain. Given the high prior relevance of LDLR, this variant warrants medium-priority follow-up: targeted functional assays (splice assays, allele-specific expression/eQTL in relevant tissues such as liver) and clinical correlation with LDL-C where possible to determine a causal mechanism.
PCSK9	rs11591147	High	Loss_of_function (reduced PCSK9 activity leading to increased LDLR and lower LDL cholesterol)	High	PCSK9's stated function is to promote LDL receptor degradation, directly influencing plasma LDL cholesterol, a causal driver of coronary artery disease. A missense variant in PCSK9 with moderate predicted impact and a relatively high association score is biologically plausible to alter PCSK9 activity. Reduced PCSK9 function would be expected to increase LDLR surface levels, lower LDL cholesterol, and thereby reduce CAD risk. Given this mechanistic coherence and the association score, this variant warrants high priority for functional validation (e.g., assays of PCSK9 secretion/activity and effects on LDLR) and clinical interpretation. No additional pathways or networks are assumed beyond the gene's direct effect on LDLR/LDL cholesterol.
APOB	rs1367117	Plausible	Altered protein function (missense affecting LDL receptor binding/LDL metabolism)	Moderate	APOB encodes the primary structural apolipoprotein of chylomicrons, VLDL and LDL and mediates LDL receptor binding — a direct biological link to lipid handling and atherosclerotic cardiovascular disease. A missense SNV (rs1367117) could plausibly alter APOB protein function or receptor interactions and thereby influence LDL clearance, which is relevant to coronary artery disease. The provided association score (~0.58) offers moderate genetic support but is not definitive. There is no specific functional evidence for this exact variant here, so causality remains uncertain. Given the gene's strong mechanistic relevance but only moderate variant-level evidence, this variant merits moderate priority for follow-up (targeted functional assays and replication/finemapping).
LPA	rs10455872	High	Regulatory / dosage (modulation of LPA expression or Lp(a) levels)	High	LPA encodes apolipoprotein(a), the main structural component of lipoprotein(a); elevated Lp(a) is a well-established, biologically plausible risk factor for coronary artery disease. rs10455872 is an intronic SNV (MODIFIER) that has been repeatedly associated with higher Lp(a) concentrations and increased CAD risk in genetic studies. Although the annotated consequence is intronic, a conservative explanation is that the variant (or a linked haplotype/structural allele) affects LPA expression, copy number/isoform structure, or splicing, leading to a dosage-mediated increase in Lp(a) and thus CAD risk. The provided association score (0.597) and prior literature linking this locus to Lp(a) levels support prioritization for follow-up (measurement of Lp(a) by genotype, eQTL/allelic expression, and targeted functional assays) rather than deprioritization.
CELSR2	rs646776	Low	Regulatory (noncoding) — downstream variant; mechanism uncertain	Low	The variant is a downstream_gene_variant with MODIFIER impact (noncoding) and an intermediate association score (0.586). The annotated molecular function of CELSR2 is an atypical cadherin receptor involved in nervous system development, which does not provide a direct, biologically plausible link to coronary artery disease. Noncoding variants can act via regulatory effects on gene expression, but there is no direct evidence here that this variant alters CELSR2 function in a way that would affect CAD. Given the modest association score and the lack of a clear mechanistic connection between CELSR2's known function and CAD, CELSR2-specific follow-up is low priority. (Note: the locus may still be disease-relevant through regulatory effects, but that would require evidence implicating CELSR2 specifically.)
CETP	rs708272	Plausible (moderate)	Non-coding regulatory (possible effect on expression or splicing)	Medium	CETP encodes a protein that directly influences HDL/VLDL lipid exchange and reverse cholesterol transport, processes mechanistically linked to coronary artery disease, so a variant in this gene is biologically relevant. The specific variant is an intronic SNV with predicted MODIFIER impact, which provides limited direct evidence of functional consequence; intronic changes can alter splicing or regulatory element activity but such effects are uncertain without experimental or eQTL data. The association score (~0.63) is moderate and supports follow-up but not definitive causality. Conservatively, assign a non-coding regulatory mechanism and a medium priority for functional validation (e.g., expression/eQTL analysis, splicing assays) rather than immediate high-priority functional characterization.
HMGCR	rs17238484	Moderate	Regulatory (non-coding; possible expression or splicing modulation)	Medium	HMGCR encodes the rate-limiting enzyme in cholesterol synthesis and is mechanistically linked to coronary artery disease via effects on plasma lipids. The variant rs17238484 is intronic and annotated as MODIFIER, so a direct protein-coding effect is unlikely; a plausible mechanism is a regulatory one (altered transcription, splicing, or chromatin effects) that changes HMGCR expression or processing. The provided association score (0.726) supports a non-random link to disease, but in the absence of direct functional evidence for this specific variant (e.g., eQTL data, allele-specific expression, or reporter/splicing assays) and given its noncoding location, confidence is limited. Conservative interpretation is that the variant is a plausible regulatory contributor to CAD risk via HMGCR modulation, meriting medium-priority follow-up (fine-mapping, eQTL/allelic expression analysis, and targeted functional assays) rather than immediate classification as causal.
FTO	rs9939609	Moderate (plausible indirect effect)	Non-coding regulatory (intronic; possible effect on expression or splicing)	Medium	rs9939609 is an intronic SNV in FTO with a MODIFIER impact prediction. FTO encodes an m6A demethylase that can alter mRNA stability and thereby influence cellular physiology; perturbations of FTO expression/function are plausibly linked to metabolic traits that are risk factors for coronary artery disease. However, this specific variant does not change coding sequence, and there is no direct evidence here that it alters FTO expression, splicing, or function. The provided association score is moderate (≈0.47), supporting some signal but not definitive causality. Conservatively, the most likely mechanism is a regulatory effect (expression or splicing modulation), so the variant merits medium-priority follow-up (e.g., eQTL analysis in relevant tissues, allele-specific expression, and targeted regulatory assays) rather than immediate classification as causal.
TCF7L2	rs7903146	Moderate	Regulatory (expression/splicing)	Moderate	The variant is an intronic SNV (MODIFIER) in TCF7L2, a transcription factor that mediates Wnt/beta-catenin-dependent regulation of target genes. Intronic variants commonly act via regulatory effects on gene expression or splicing rather than protein-coding changes, so a regulatory mechanism is plausible. The provided association score (~0.526) is intermediate, supporting neither a null nor a definitive causal signal. There is no direct evidence here that this specific variant alters TCF7L2 function in a way that causes coronary artery disease, so a conservative interpretation is moderate biological plausibility and moderate priority for follow-up (e.g., eQTL/allelic expression, regulatory-motif and chromatin overlap assessments, and colocalization with CAD association signals) rather than high-priority causal assignment.
